id,name,level,exp,maxHP,maxMP,accuracy,evasion,speed,boss,summonType,paDamage,maDamage,pdr,mdr,push,hpRecovery,mpRecovery,publicReward,_url,_meta_raw
100100,Snail,1,3,8,0,20,0,-65,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/100100,"{""isBodyAttack"": true, ""level"": 1, ""maxHP"": 8, ""maxMP"": 0, ""speed"": -65, ""physicalDamage"": 12, ""physicalDefense"": 0, ""magicDamage"": 0, ""magicDefense"": 0, ""accuracy"": 20, ""evasion"": 0, ""exp"": 3, ""isUndead"": false, ""minimumPushDamage"": 1, ""summonType"": 1, ""revivesMonsterId"": []}"
100101,Blue Snail,2,4,15,15,20,0,-50,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/100101,"{""isBodyAttack"": true, ""level"": 2, ""maxHP"": 15, ""maxMP"": 15, ""speed"": -50, ""physicalDamage"": 17, ""physicalDefense"": 0, ""magicDamage"": 0, ""magicDefense"": 0, ""accuracy"": 20, ""evasion"": 0, ""exp"": 4, ""isUndead"": false, ""minimumPushDamage"": 1, ""summonType"": 1, ""revivesMonsterId"": []}"
100120,Tino,1,4,9,0,20,0,-40,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/100120,"{""isBodyAttack"": true, ""level"": 1, ""maxHP"": 9, ""maxMP"": 0, ""speed"": -40, ""physicalDamage"": 17, ""physicalDefense"": 0, ""magicDamage"": 0, ""magicDefense"": 0, ""accuracy"": 20, ""evasion"": 0, ""exp"": 4, ""isUndead"": false, ""minimumPushDamage"": 1, ""summonType"": 1, ""revivesMonsterId"": []}"
100121,Tiv,3,7,25,0,30,0,-35,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/100121,"{""isBodyAttack"": true, ""level"": 3, ""maxHP"": 25, ""maxMP"": 0, ""speed"": -35, ""physicalDamage"": 22, ""physicalDefense"": 0, ""magicDamage"": 0, ""magicDefense"": 0, ""accuracy"": 30, ""evasion"": 0, ""exp"": 7, ""isUndead"": false, ""minimumPushDamage"": 1, ""summonType"": 1, ""revivesMonsterId"": []}"
100122,Timu,5,9,45,0,35,0,-35,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/100122,"{""isBodyAttack"": true, ""level"": 5, ""maxHP"": 45, ""maxMP"": 0, ""speed"": -35, ""physicalDamage"": 29, ""physicalDefense"": 3, ""magicDamage"": 0, ""magicDefense"": 10, ""accuracy"": 35, ""evasion"": 0, ""exp"": 9, ""isUndead"": false, ""minimumPushDamage"": 1, ""summonType"": 1, ""revivesMonsterId"": []}"
100123,Tiru,7,16,70,0,40,0,-30,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/100123,"{""isBodyAttack"": true, ""level"": 7, ""maxHP"": 70, ""maxMP"": 0, ""speed"": -30, ""physicalDamage"": 37, ""physicalDefense"": 5, ""magicDamage"": 0, ""magicDefense"": 20, ""accuracy"": 40, ""evasion"": 0, ""exp"": 16, ""isUndead"": false, ""minimumPushDamage"": 1, ""summonType"": 1, ""revivesMonsterId"": []}"
100124,Tiguru,9,19,100,0,40,1,-30,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/100124,"{""isBodyAttack"": true, ""level"": 9, ""maxHP"": 100, ""maxMP"": 0, ""speed"": -30, ""physicalDamage"": 50, ""physicalDefense"": 10, ""magicDamage"": 0, ""magicDefense"": 15, ""accuracy"": 40, ""evasion"": 1, ""exp"": 19, ""isUndead"": false, ""minimumPushDamage"": 1, ""summonType"": 1, ""revivesMonsterId"": []}"
100130,Muru,1,1,8,0,20,0,-50,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/100130,"{""isBodyAttack"": true, ""level"": 1, ""maxHP"": 8, ""maxMP"": 0, ""speed"": -50, ""physicalDamage"": 12, ""physicalDefense"": 0, ""magicDamage"": 0, ""magicDefense"": 0, ""accuracy"": 20, ""evasion"": 0, ""exp"": 1, ""isUndead"": false, ""minimumPushDamage"": 1, ""summonType"": 1, ""revivesMonsterId"": []}"
100131,Murupa,3,6,28,0,30,0,-40,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/100131,"{""isBodyAttack"": true, ""level"": 3, ""maxHP"": 28, ""maxMP"": 0, ""speed"": -40, ""physicalDamage"": 21, ""physicalDefense"": 0, ""magicDamage"": 0, ""magicDefense"": 0, ""accuracy"": 30, ""evasion"": 0, ""exp"": 6, ""isUndead"": false, ""minimumPushDamage"": 1, ""summonType"": 1, ""revivesMonsterId"": []}"
100132,Murupia,5,9,43,0,35,0,-35,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/100132,"{""isBodyAttack"": true, ""level"": 5, ""maxHP"": 43, ""maxMP"": 0, ""speed"": -35, ""physicalDamage"": 28, ""physicalDefense"": 3, ""magicDamage"": 0, ""magicDefense"": 10, ""accuracy"": 35, ""evasion"": 0, ""exp"": 9, ""isUndead"": false, ""minimumPushDamage"": 1, ""summonType"": 1, ""revivesMonsterId"": []}"
